LASTNAME,FIRSTNAME,TITLE
McGREGOR,CONNORS,CUST SERVICE REP.
OWENS,BENJAMIN,ASSISTANT MANAGER
SCOTT,MICHAEL,REGIONAL MANAGER
PAIGE,CARRINGTON,STORE MANAGER
SCHACHT,BRADLEY,DISTRICT MANAGER
LANDEN,COLLIN,CUSTOMER SERVICE REPRESENTATIVE
SHOWALTER,CHRISTOPHER,SHIFT LEADER
MCNAMARA,SEAN,REGIONAL MANAGER
COLBERT,STEPHEN,STORE MANAGER
ISHEE,SAM,SHIFT LEADER
ENGLE,DANIEL,ASSISTANT MANAGER
STEWART,JON,DISTRICT MANAGER
GAYLE,CHRIS,CUSTOMER SERVICE REPRESENTATIVE
DIAZ,NATE,SHIFT LEAD
DIAZ,NICK,REGIONAL MANAGER
HALPERT,JIM,STORE MANAGER
PRINCE, DERRICK,CUSTOMER SERVICE REPRESENTATIVE
SCHRUTE,DWIGHT,CUSTOMER SERVICE REPRESENTATIVE
BEESLY,PAM,ASSISTANT MGR.
RYAN,DUSTIN,DISTRICT MANAGER
TROY,CHRISTIAN,REGIONAL MGR.
WOOD,JOHN,CUSTOMER SERVICE REPRESENTATIVE
TIM,JONES,STORE MANAGER
JANE,DAWN,STORE MANAGER
